OriginalTweet,Sentiment
"Purely empirical observation - but imo the worst of the panic buyers are boomers and older people. That whole Blitz spirit is BS. Food in wartime was rationed; now there's plenty of it, but you're a greedy c*nt &amp; want it all for yourself. #COVID2019",Extremely Negative
"CONSUMER ALERT: Scammers are sending phony COVID-19 emails and text messages to infecting computers with viruses and ripping-off nervous Americans. Colorado's AG Phil Weiser says ""Do not download, or click the links"" #AlwaysWatchingOutForYou
https://t.co/zgsoq6v9lq",Positive
"Dont know who needs to hear this: STOP ONLINE SHOPPING. Save your money, be clever. Dont spend it on clothes/makeup/anything you dont need, be sensible. I know it can create happiness but we dont know how the economy will be in the next few weeks #COVID2019",Positive
There is an anti profiteering law in America that during crisis and hardship prevents companies inflating prices of essential products that should be a law here &amp; any fines given to helping vulnerable people #COVID2019,Extremely Negative
"Everyone who selfishly bought ALL the milk, bread, pasta, painkillers from my local supermarket, I hope batteries run out of your TV remote control the second we are in lockdown.#COVID2019",Positive
@markoneill04 What do you think of the massive panic over the #coronavirus here advice to stop going out for pleasure but carry on working in the office. Panic buying for food. Somebody making money from this.,Extremely Negative
A picture of a supermarket my brother send me from NYC. #FactsNotFear #COVID-19 #letsstophoarding please! https://t.co/v5KZl6zW4w,Positive
The company will expand its warehouse and force to cope with increased demand amid the pandemic Is 100 000 Workers to Handle the Increase in,Extremely Positive
"Consequences #StockMarketCrash2020 

Short term #credit dries up.
#Employers no money to pay #Workers 
Buy #inventory 
Pay #Suppliers

Bankruptcy&gt;Layoffs&gt;Demand Falls&gt;Consumption Ends

Traumatic Damage 
#CivilWar 

 #DowJones #SP500 #USA 
#Trump #coronavirus #sick #depression https://t.co/3JtueI9OGs",Extremely Negative
"From 3pm with @oliverpeterson:

 Coronavirus latest, three health care workers have tested positive to COVID-19 in WA.
 Consumer Protection taking your calls.
 Will the NBN network cope with more and more Aussies working from home? https://t.co/SDXzJ5zVgf",Extremely Positive
".@ConsumerWA has recently created some FAQs surrounding Coronavirus relating to pricing and travel.

https://t.co/RXmGcXvcZb",Positive
"@HappySpaceInvdr @matt_dathan @artbyailbhe https://t.co/PlOVyF4x1f

If you require help with buying groceries, other shopping or picking up medication, or walking a dog, you will need to ask friends or relatives. Alternatively, you can order medicatio",Extremely Positive
"Quiet Sydney commute today - enough room to 'isolate', no one coughing, no on touching anything with their hands. This in contrast to stabbings/beatings in supermarkets &amp; the emergence of supermarket tourists raiding country towns. #goodbadugly #COVID2019 
https://t.co/VmNrD6nTJK",Extremely Negative
We desperately need a #coronavirus vaccine. For #BigPharma that means raise prices for private profit. Please sign this @GlobalJusticeUK petition demanding that public reasearch money goes with the condition that any vaccine is cheap enough for all of us https://t.co/0NESauWJa8,Positive
"Coronavirus disease (COVID-19)

PLEASE SHARE:
If you or anyone you know are self-isolating but need anything delivered/picked up  prescriptions, small shopping items we can help. 
We can leave items on your doorstep and any payment can be made online. W https://t.co/4nqJhbrAax https://t.co/dhFgl3X0VV",Extremely Positive
supermarkets in Spain Imagine having such a poor culinary reputation people don t even buy your food in a panic buying frenzy Brits will be alright,Extremely Negative
"Need to stock the freezer with some easy meals? @BuzzFeedFood has some great ideas, including our cauliflower walnut tacos! https://t.co/wu9LANqXqM",Extremely Positive
"WTI dropped 6% to settle at $26.95 -- its lowest level since Feb. 2016 &amp; is currently on pace for its worst month on record #OOTT #oil #coronavirus 

Goldman cut its WTI forecasts for a third time today as prices continue to fall &gt; https://t.co/a3j5pcvhKL https://t.co/3323mkvmjh",Extremely Negative
Just saw a woman wearing a face mask around her neck in the supermarket like the virus cant be caught in personal hygiene but certainly can be in frozen foods #COVID2019,Positive
"US #ethanol market wonders what's next after US price crash

* #Coronavirus, #crudeoil prices lead to 'historic' crash in US ethanol
* Governments' plan to fight virus causes lower demand
* Poor crush margins, cash flow could lead plants to close

FEATURE: https://t.co/HxhCYvlGYK https://t.co/o5JTz7nybA",Extremely Negative
"@Imamofpeace First return reserve fund of RBI of 1.75 Lac Crores. Save banks from getting sunk. Reduce fuel prices. First save your own house from #COVID2019 , then think of others.
#MaukepeChauka",Extremely Positive
"#Coronavirus 
Didnt panic buy. Will now create meal menus out of all the food we have in the cupboards and freezer then plan my next grocery shop accordingly. 
Although Hubby did buy a packet of egg fried rice yesterday when he went out to buy a loaf ? Why
Stay safe everyone",Positive
"Looks like @GallwayJames is finally out with his site that sells cleaning/sanitizing supplies at market values. Seem reasonable prices. Gift cards available. #coronavirus virus   #COVID19 

https://t.co/BdCHbj0N6I #CripTheVote",Extremely Positive
"Go grocery shopping at low-volume times, like early morning or late at night, one epidemiologist said. Try to maintain physical distance as much as you can. 

The grocery store doesnt make you magically exempt from viral spread. https://t.co/WGcR3fjvyS",Positive
"Mark Hayward &amp; David Cox said ""it's vital agents continue to uphold the highest standards &amp; follow best practice when undertaking valuations, viewings, inspections, maintenance &amp; cleaning, &amp; maintain compliance with the Consumer Protection Regulations.""
https://t.co/c1LpSExacW https://t.co/ndcSd8mc3S",Extremely Positive
"Scott Clarke, Consumer Products Industry Lead, shares 8 tips for how CPG companies can respond to the impact from COVID-19 https://t.co/hz0ZFp8k5K",Positive
@PrimetimeJermyn Hi Jermyn. We follow the Food and Drug Administrations food code for the use of gloves. Our associates who work in prepared food environments are required to wear gloves while performing job duties but associates who dont work in thes,Positive
"This is great for seniors ? but these plans *must* include #HighRiskCovid19 folks who are chronically ill immunocompromised, or disabled, in any local grocery store plans to offer special hours for seniors during #CoronavirusOutbreak. #COVID19 #coronavirus https://t.co/kWD3xsq8Ut",Positive
"BE AFRAID, BE VERY AFRAIDINSLEE PROMOTES THE #APOCALYPSE 
Instead of calming #hysteria, #FakeNews #Inslee doubles down on more #panic. @GovInslee promoting staying home or criminal charges are next. The only place to get the #coronavirus now, is the grocery store. #WakeUp #QAnon https://t.co/lv8dT5B9Gh",Extremely Positive
"@ImranKhanPTI @PTIofficial  the prices have shot up for everything inflation didn't help it's insanity now ! Device polices, regulate and prison horders and those cashing in on the situation. Humanity is dead in imrans Pakistan ? #Pakistan #COVID2019 #Kar",Extremely Negative
"How long would it take to build an online appointment system for grocery stores? People could sign up for a time slot to go shopping. It would reduce lines, density, and keep enough stuff on the shelves. 
Hey, Silicon Valley friends... get to it. #COVID2019",Positive
"Hey @saveonfoods @WalmartCanada @RealCdnSS and @costcocanada, youre making HUGE profits on panicky shoppers. Literally selling out daily. How about some corporate responsibility? 
??Enforce limits on items
??Special hours for elderly &amp; disabled 
??lower your prices 
#COVID2019",Extremely Positive
"Funny and sadly true ?

#toiletpaper #ToiletPaperPanic #ToiletPaperApocalypse #toiletpapercrisis #ToiletPaperEmergency #coronavirus #idiots #StopPanicBuying https://t.co/nL2s21T1Jj",Positive
"@clairemetzwesh @DebDenys I agree.  Its fresh air, sunshine.  It is probably a very unlikely place to catch this #coronavirus. We arent closing the stores all the thousands of people in a grocery store each day will spread more germs than crowds at th",Extremely Positive
"Hope everybody is safe! Make sure to wash your hands 10× per day! Also eat healthy food to fight the COVID-19 virus. Dont worry its not the end of the world.

Caution = YES
panic     =  NO",Extremely Positive
People in California line up to enter the supermarket. Stay home unless its urgent #COVID2019 https://t.co/k0xYelVmmt,Positive
"To those in need of food: 
Many restaurants are either selling (at a discounted price) or giving away their current stock of food. Call up your local restaurants who are shutting their doors and see what they have to offer! It never hurts to ask! #COVID2019 #coronavirus",Extremely Positive
I came home to an almost empty grocery store #Safeway so I decided to print it on my shoe with hope that it will go away. #COVID2019 wishing all of us good health. #fightingcoronavirus https://t.co/VgXh4m7X0Q,Extremely Positive
"There's plenty of food to go around guys, don't worry about any of that nonsense. Fears about #foodshortages highlight the economic anxiety most Americans are feeling today. It doesn't take much to destabilize a nation already in panic before this #coronavirus outbreak began.",Extremely Negative
"Half my household is sick (fevers, coughing...). Weve decided its probably just the flu.

Test swabs are unavailable. COVID-19 call-centers are saturated. Online shopping is saturated. 

Two weeks of tuna cans it is... https://t.co/rmtb4uT19M",Extremely Negative
"Stealing someones share if U unnecessarily stock food in Ur house. Think about poor people they buy food items on daily basis if markets r empty how would they survive?Dont b a killer plz, b responsible citizen of #Pakistan
#CoronavirusOutbreak
#COVID2019
#coronavirusinpakistan",Extremely Negative
India has a huge online market This means about 70 7 percent of internet users in India are purchasing products online The majority of digital shoppers should be restricted for a while so Ban online shopping to avoid spreading of Covid 19 by any source Jaihind,Extremely Negative
Real #heros in this #coronavirus crisis are the grocery store clerks and shelf stockers.  Tell them so when you see them today.  We are #ShelterInPlace so we can't.,Extremely Negative
"Take care of your self. Take care of your peers. Wash your hands. Take a shower. Sanitize your hands. Clean your phones. Dont touch your face. AND STOP HOARDING TOILET PAPERS, HAND SANITIZERS AND EVERYTHING ELSE AT THE GROCERY STORE! #Covid_19 https://t.co/BYditzwqEn",Extremely Positive
@mcdonalds your free drink for social and emergency personnel is fantastic. Maybe you could stretch it to a free sandwich too? The stores are open and staffed. You have stock. There will be waste that you will save if you give food fresh to a few. #COVID2,Extremely Positive
Imma go to the grocery store every day type person but this #coronavirus shit fucking up vibe ?,Extremely Negative
"#TechTipTuesday COVID-19 has the worlds attention and this hasnt stopped scammers, hackers, and others from taken advantage of one of our basic human conditions, fear. Check out these tips from the FTC to help avoid Coronavirus scams. https://t.co/aLNAaSKJik https://t.co/RtFKkakbgO",Extremely Negative
"I just hope that in this panic to buy all of the toilet paper/sanitizer/food, you take care of your animals as well as you plan to take care of yourselves and your families. :(
#itsnottheendoftheworld #coronavirus",Extremely Positive
"If you go to a grocery store today, please see what's going on around you. Smile at the cashier. Crack a joke with the old guy who needs help reaching the cookies. Realuze that it's backbreaking work to keep the shelves stocked for you. 

And see it, in all its humanity.",Extremely Positive
"Everyone out here panic buying food and toilet roll, and Ive just sat and panic bought a bunch of new sex toys. Covid-19 may have delayed any new collab work but you can bet your ass youll still be getting the HOTTEST content from me ??",Extremely Negative
Interesting snapshot of consumer sentiment during week one of living with Covid-19. Curious how these numbers will change over the coming weeks. https://t.co/6bkC09pKeb,Extremely Positive
Drove to the pharmacy- people in my town are having a great time. People at the grocery store touching EVERYTHING and putting it back. #nosocialdistance #kidsattheplayground #menhangingout #itsapartyoutthere #coronavirus #losangeles,Extremely Positive
"Interesting article discussing the impact #COVID19 is having on older diners. Less inclined to utilize off-premise channels, operators are scrambling to reach this demographic which is responsible for over 1/3 of #restaurant industry traffic. @FSRmag 

https://t.co/fjjA0HNi2i",Extremely Positive
Don t worry if Purrell is sold out at your supermarket says Indeed is a challenge but overhyping it in a misleading manner would do bad than good The myths in the thread are really in air since the first case diagnosed,Extremely Negative
"@BBC_HaveYourSay, I've just received letters from @BT and @SkyUK raising their prices from April. Mad under the circumstances. You'd have thought they'd have posponed/ cancelled it, all things considered, especially when money is tight #CoronavirusOutbrea",Extremely Negative
Empty highways Low gas prices No lines at the stores #covid_19 I could get used to this #besafe https://t.co/r2PlJNlZCk,Extremely Negative
The good folk have at never seen before low low prices is recommended as are selling at  3 70 to cash in on,Extremely Positive
"Be nice to supermarket workers! 
#Covid-19

Spain's other heroes: Supermarket cashiers on the coronavirus frontline https://t.co/jPnhVb9dT6 via @TheLocalSpain",Extremely Positive
@mikeygow They dont want reporting of the economic chaos that is developing and will get worse as western demand (consumer and GPN/GVC) falls. They also dont want US reporters in country for the CoVid-19 inquest thats going to happen and will inevit,Extremely Negative
"The biggest U.S. airlines spent 96% of free cash flow over the last decade to buy back shares of their own stock in order to boost executive bonuses and please wealthy investors. 

Now, they expect taxpayers to bail them out to the tune of $50 billion. It's the same old story.",Extremely Positive
"As the situation w/ COVID-19 continues to evolve, @reigningchamp will take every available opportunity to protect the health of their staff and customers, which includes closing retail locations.

Their online store remains open + free shipping to Canada. https://t.co/qOr1fQyjph",Extremely Positive
"Today I helped to comfort a woman who was absolutely panicked at my local grocery store. 

Shelves are empty, her husband has a pre-existing condition that is likely going to be fatal even without #COVID2019  and she is struggling right now.

Please pray for her+all struggling.",Extremely Negative
"Not sure how many days we are into to this crisis, but workers at my grocery store still haven't been provided masks or gloves. Nor have we been provided any guidance on how to prevent or lower our exposure to the #coronavirus I suspect with all the extra contact I'll be exposed",Extremely Negative
Be sure to look after the elders in your community they are the ones that need your help the most from the team,Extremely Positive
"1) After 10 days of having this virus I was able to go to Publix supermarket in Fort Myers, FL where 2 ppl have died from COVID-19. At 1 PM there was NO TP, NO paper towels, NO Kleenex. I could't find some brands of food I wanted, but I found alternatives. I asked employee if",Extremely Negative
"At the supermarket and overhear a mother telling her child the whole reason youre here is to understand why Im stressed. 
A terribly sad personification of panic buying. #COVID2019",Extremely Negative
@bbc5live @Emmabarnett @BBCSounds Far more people in supermarkets than pubs. Which means you have a far greater chance of contact with a Covid 19 carrier in a supermarket than a pub. So pubs are the safer place to be.,Extremely Positive
Tips from @FTC on how to avoid Coronavirus scams. https://t.co/KDwcl3EG4I #COVID19 #coronavirus #CoronavirusOutbreak #Covid_19 https://t.co/f51yOb7wXH,Extremely Negative
"Since COVID-19 have you

-panic hoarded food out of a general sense of danger 

-stayed away from your parents bc its healthier; but still call them to let them know youre alright daily 

-feel like youre sick but know its most likely anxiety

Mazal tov youre now Jewish",Extremely Negative
From the hot zone! My sushi place is delivery only. My wine shop is limiting capacity. Cold medicine shelves are empty but employees are furiously restocking. Grocery store has many holes but a TON of restocking is going on. Every store has toilet paper.#coronavirus #NYC #Brookly https://t.co/aSphYfx2jG,Extremely Negative
I dont work at a grocery store but I do work at a pet store which is important to those who have pets. No ones thinking of us. Are we essential? Idk. But I am scared of pet owners if we were to close #Retailwork #corona #Covid_19,Extremely Negative
"As a regional in the supermarket industry, I can 100% verify this. The absolute worst place to be right now Is the supermarket- most have little to no procedure to eliminate risk.  Youre safer at the airport.  #CoronavirusOutbreak 
https://t.co/aaqlQv7Kyr",Extremely Negative
Day 1 of isolation: no online grocery shopping deliveries available at all. Children arguing. Cant eat my secret stash of chocolate for fear of my family seeing it. Staying at home will be a test for us all. #stayhomechallenge #CoronavirusOutbreak #QuarantineLife #COVID2019,Extremely Negative
"My mother was told by a neighbor that in our area, a woman who was tested for #coronavirus, without receiving results yet, and could be positive, went to a grocery store and announced her situation to everyone. 

I am so angry. Please send me a virtual hug.",Extremely Positive
Using #Crypto for what it was designed for. Used #Bitcoin to buy bullets with my @cryptocom card glad I did prices are skyrocketing now with #coronavirus #COVID19 stay safe yall #TimeForPlanB @bensemchee @Bitboy_Crypto @theemrsmcafee @officialmcafee @ricecrypto @Monarchtoken https://t.co/O0dsD66XJZ,Extremely Positive
"Its sad to see human greed on display with mass emptying of food and items on shelf, sheer and unnecessary panic whilst the people who really need the basics miss out. What will be worse #COVID2019 or the public display of humanity.",Extremely Negative
"So everyone are losing their heads over #Coronavirus

Falling down stairs kills 1,000 in UK https://t.co/XoM5yM1KZH

Seasonal flu kills 17,000 a year, or 362 A WEEK in UK https://t.co/oPZMNm8s2e

Coronavirus is currently at 55. Keep your heads on
#StopPanicBuying #StopStockpiling",Extremely Negative
"With misinformation surrounding #coronavirus, it is crucial that Hoosiers receive information from credible sources. We cannot allow foreign disinformation campaigns to create panic and undermine response efforts. https://t.co/t3KJJwIw3Z",Extremely Negative
"Beware of Virtue Signaling in #Brand #Communications About #COVID19 
Is your message really consumer centered or mere brand commitment?  https://t.co/mZH5Wg9GiW",Extremely Positive
"@rggoobi You won't get it easily since you live with a Government that doesn't give a sh*t to its Citizens

So traders are hiking prices giving #coronavirus as an excuse

when prices are hiked, only rich will afford,

fixing prices is to stand",Extremely Positive
"Yes, we're in a pandemic, and it's important to substantially reduce or eliminate non-essential social activities. But we keep hospitals and grocery stores open because they're essential. Treating elections as non-essential in a crisis is a really, really bad precedent.",Extremely Negative
"Amidst #covid_19 don't be afraid of sending out precautionary message and all sort of aid that you can provide to help people around the world to not panic, through disinfecting sources; could be helping words, aiding connections, like clean food and medical resources. - Shadab https://t.co/htcrhVTCOO",Extremely Positive
"@WillieHandler @KristenTaber Actually not true for this virus, sadly. https://t.co/mffIwS9Sdk",Extremely Negative
If your in a supermarket fighting over toilet roll then the Coronavirus is the least of your worries ??? Madness what is going on! #COVID2019,Extremely Negative
Deputies warn of potential COVID-19 scam in Oconee Co. https://t.co/n9zmoIWjgt,Extremely Negative
"@GovSisolak With hoarding and the unavailability of food in stores due to the #COVID19 #coronavirus panic, can you get @FEMA to bring emergency food rations to #LasVegas? People need food and most others have just enough to wait out any lockdown or quaran",Extremely Negative
"@Got_Anxiety &amp; @TherapyNest share some tips for managing #anxiety and #isolation during #COVID19 quarantines. If you need support, help is available via telehealth. #mentalhealth #therapy #anxietytherapy https://t.co/SIO5C1DY0f",Extremely Positive
"Stay at home people take care of yourself and your loved ones #coronavirus stay safe, and stop hoarding tp and soap. Your clean hands won't matter if no one else's are. 
#coronavirus  #toiletpaper #stayhomechallenge #stockup",Extremely Positive
I am part of a large queue in the centre of the city to enter a supermarket at 8am. I only wanted a croissant but will take the opportunity to sensibly purchase a few tinned goods. Please be sensible #COVID2019 https://t.co/DZFPKKbhzJ,Extremely Positive
#thankyou to all the factory workers producing toilet roll/ soap/ food and the truck drivers who deliver it to our stores (even if panic buyers means empty shelves at the end of the day) #coronavirus I root for the #underdog,Extremely Negative
Coronavirus: Laura Ashley set to become first retail casualty of crisis https://t.co/FXAg1OXT6I,Extremely Negative
"A Cumberland County student spent spring break in Spain with some friends. When the fun was over, two of his fellow travelers tested positive for COVID-19. 
He and his mother join us to discuss the conflicting guidance he received when he sought testing. https://t.co/pwSTbw5IqA",Extremely Positive
"So since the city closed a bunch of facilities to help stop the spread of COVID-19, everyone is standing around visiting at the grocery store. I saw one woman forcibly hugging people. Unbelievable.",Extremely Positive
"To help keep consumers and employees safe, retailers from Nordstrom to Calvin Klein are shutting their doors while bracing for impact.

https://t.co/Z8T7JKRUyd

#Coronavirus #Retail",Extremely Positive
"@juliana_siapai Demand and Supply law as stated by @Siinchol, If the #COVID2019  get worse here which we pray it doesn't, prices of foodstuffs and household supplies would skyrocket hence, producing another big food crisis",Extremely Negative
"We've seen reports from colleagues across the Country of doorstep rogues claiming to be from the NHS providing a Covid-19 vaccine.

Scammers will take advantage of the situation, to extort money, or to gain access to your home.

Report any cold callers to us via 0808 223 1133. https://t.co/xPQrTpenyg",Extremely Positive
"The Safety of our Employees and Customers has been and will always be our top priority. While this situation hasnt been easy on anyone, we remain ready and prepared to connect you to whats important in your lives.",Extremely Positive
"Everyone, we all need to stay calm. This is a difficult time for us all. The worst thing we can do is panic and be greedy (hoarding food and other important items). Do your part and stay safe. We will get through this.....together! #CoronavirusOutbreak #COVID2019 https://t.co/JU1r6Jya7j",Extremely Negative
"Folks at the grocery store who've never cleaned anything more than a plate are emerging from the grocery store with more cleaning supplies and paper towels than my OCD, stress cleaning ass uses in a year! #

#coronapocolypse #coronavirus #TPShortage2020 #everyonesgonemad",Extremely Negative
"Thank you, to all the officials, who are acting like adults, and working on the Wuhan Flu. Thank you Medical Personal, standing by and ready. But a huge thank you, to retail grocery store employees. They are the heros of the hour. Keep doing what you can.We got this. #Coronavirus",Extremely Positive
"@CBSDenver Grocery store workers, are heros right now. They need help stocking shelves. Nothing is running out. We are going to be fine. Stay in there America, we got each other. #ColoradoStrong #coronavirus",Extremely Positive
"Minnesota food retailers are among the last businesses open, but experts say there is no threat to the food supply: ""We have enough food available."" https://t.co/7yxesMIC6j",Extremely Negative
"People who are housebound, or just can't get to food shops, are far more worried about starving to death, than #COVID2019. And at least in hospital, you'll get fed. No supermarket home deliveries for at least 3 weeks in most areas.",Extremely Negative
"#COVID2019 went to supermarket. looked like it had exploded. all bread gone. bread is bad for you anyway, nice to know people are panic buying all the bad stuff. last i heard 13 cases and 0 death in my county. this is ridiculous",Extremely Negative
"Another appropriate measure, as this is a crisis, would be to make it a criminal offence to profiteer either through the stockmarket , or by selling products at extortionate prices #COVID2019 #Corvid19uk",Extremely Negative
"Given how people are panic buying food even worse now, I have no idea how modern society would have survived during the Siege of Leningrad, where daily rations dropped to almost 200 cal a day #coronavirusuk #coronavirus",Extremely Negative
With all this panic buying sightings of pasta on supermarket shelves is more rare than the Loch Ness monster. Im currently selling it for £50 a gram or £35 for half. No tick sorry guys #COVID2019 #panicbuyinguk,Extremely Negative
@B_Carp01 Now aren't you sweet.  I bet your grandma loves you.  All thirteen (13) #Walmart stores on my #MSGulfCoast have shut down their online grocery departments at 6:00 p.m. tonight for the next seven (7) days. You can go shop at the store or you can ,Extremely Positive
"Fuck all left on the shelves due to all the barmy bastards stock piling, so #Tesco have resorted to bringing their unsold Christmas food out ? #chilloutforfucksake #coronavirus https://t.co/t9ObP2GSBG",Extremely Negative
"@eBay_UK how are you allowing people to sell a single sheet of paper, ACTUALLY USED FFS. Prices for a pack of toilet paper are ridiculous ???  #coronavirus #COVID2019 #Armageddon https://t.co/CwzmRmjSj5",Extremely Negative
Prices of eggs and chicken has fallen to half due to corona virus. Only fools will go to eat it. ? ???#covidindia #COVID2019 #ChineseVirus,Extremely Negative
Pretty comprehensive statement from Galen Weston here on how @LoblawsON and @ShopprsDrugMart will work during #COVID19. (needs three screen caps.) #cdnpoli https://t.co/jfAu4DqaDu,Extremely Positive
"In stead of panic,it is time now to follow a regular practice of routine life style with clean air/clean water/clean and fresh food with yoga and pranayam to curb the pandemic covid-19.Every single body's effort is required for this.",Extremely Positive
"Avoid going shopping they say , do it online instead they say.. I,ll just starve then shall I as I can't get a home delivery for 8 days. #justnotfeesable #imoffshopping #coronavirus",Extremely Negative
"We need teachers, nurses, grocery store workers, garbage men, gas station attendants (Oregon only!), local businesses, etc. All our cracks and fissures are evident, we need to do a better job of paying and supporting our essential employees #COVID2019 #SupportLocalBusinesses",Extremely Positive
Thing is if people arent buying from local businesses then they wont survive. How will shop owners pay for bills and feed their families? Putting prices up is bad but if you support your local then Im sure they will support you. Be there for your community #Support #COVID2019,Extremely Positive
"Products that are shelf-stable &amp; long-lived are in demand as consumers are stockpiling staples in anticipation of state- or self-imposed quarantines. Interest in fresh &amp; artisanal foods is being tested as consumers turn to preserved, shelf-stable products https://t.co/MdDEFzqI39",Extremely Positive
"Suspected Covid-19 persons in isolation ward demand non-veg food, hosp denies https://t.co/Afqo5CXAan",Extremely Negative
"@OntEnergyBoard As OEB has oversight of energy prices in Ontario, when is OEB going to halt Peek Pricing to help alleviate strain consumer budgets during COVID-19? According to Elexion Energy this is your call to make. @ElexiconEnergy",Extremely Positive
"Great way to support the health of the community. #COVID19
https://t.co/GLEPilFhPX",Extremely Positive
@JustinTrudeau get your shit together. The #coronavirus is going to be a disaster with you in leadership. Lock it down. Close borders.  People I know are coming back from vacation yesterday and are at the grocery store today @CP24 @CTVNews @CTVToronto,Extremely Negative
"Ill do anything for saving my country. We are not charging high prices from any of our customers, they are selling it thoroughly by their own wish. No one is intend to sell it over MRPS. Please report us if any one selling our product over MRP. Lets save India #COVID2019",Extremely Positive
This world has gone absolutely fucking mad because of this #coronavirus #COVID19 no food on the shelves! Dickheads panic buying more than they need! We have no food in and can not get fuck all because of these idiots!,Extremely Negative
"Went to grocery  store it was pretty good mostly packaged meat ???? I got my meat from butcher he had everything I wanted~got all on my list ~ they are not even hording the right stuff????oh well??
#coronavirus 
#selfquarantine https://t.co/3uBXavEsyw",Extremely Positive
"Several cyber scams involving false emails or text messages have been reported. All Texans are advised to be on alert for electronic communications with dangerous attachments or fraudulent website links.

Click below for tips to avoid cyber scams:
https://t.co/9aYJhrBQ3B",Extremely Negative
Dont forget about the grocery store and gas station employees out there. Shut these down and people would riot. Most make minimum wage and get zero respect. This has made it clear how vital these jobs are to all of us. Its time they get a huge raise or bonus #coronavirus,Extremely Positive
There is no need to panic buy. There is plenty of food and production is still underway. The surge in buying just overwhelmed the ordering/stocking of stores. #covid2019 #coronavirus https://t.co/LY85tOTN9F,Extremely Negative
"""We should significantly cut VAT to stimulate consumer demand around the world, with particularly aggressive cuts from countries hit hardest by the outbreak.""
#Coronavirus https://t.co/dgnqkk5nXu",Extremely Negative
"So glad I dont:
Live in a big city. 
Rely on takeout/dine out.
Rely on delivery. 
Rely on transport.

So glad I DO:
Have 6 month stock of food.
Own guns/ammo.
Have most family/friends within blocks.
Live in a small town with woods. 
Have a big truck/fam car.
#coronavirus https://t.co/RxtyMKqFQy",Extremely Positive
"""Lets all agree to be kind &amp; courteous to the heroes working frantically to restock grocery store shelves..."" - @RealNadiaB. #coronavirus 
https://t.co/5ylYjKmlu5",Extremely Positive
"Urgent travel warnings, supermarket chaos, and the hunt for a COVID-19 vaccine. Take a look at the latest coronavirus news. #9Today https://t.co/OdcA5ZyIw0",Extremely Negative
My sister works in retail and I find it criminal that she still has to work. They've curtailed store hrs to be from 11 AM-7 PM but it's not an essential place! On a more positive note my nephew is fine though he needs an inhaler. No COVID-19 there.,Extremely Positive
4 weeks ago people in the supermarket thought I had debilitating diarrhoea when I purchased a 24 pack of TP. Now they think Im an inconsiderate arsehole with no regard for the elderly and vulnerable #coronavirus #shutdownaustralia #Covid_19 #TPShortage2020 #cantwin,Extremely Negative
"@juntei &gt;&gt;about Covid-19, and I want to keep it that way. Because of her emetophobia she has become obsessive levels of general- and particularly food-hygiene conscious, constantly hand-washing, alcohol-wiping, and sanitising, so she definitely does",Extremely Positive
Is doing online shopping insensitive during the #coronavirus? Hate the idea of someone having to venture out but hate redundancy even more,Extremely Negative
"what is the Trump administration doing  to help  restore the empty grocery store shelves?! Restaurant food isn't healthy for anyone @realDonaldTrump 
@POTUS #COVID2019",Extremely Positive
My husband called saying he found ? he was so excited ?? like as if he found Gold apparently I hear bread is hard to find among other things during the #coronavirus  #panicshopping  Even online shopping is not easy many items are out of stock . Prayers ? be safe .,Extremely Positive
Dan Rather Praises Overlooked COVID-19 Heroes on Twitter https://t.co/FNm0nVSbZo,Extremely Positive
"The safety of our community &amp; staff is a top priority, esp. in the midst of #COVID19. From robust health measures to online shopping, know that your Tony Divino Toyota family is here for you. See all of our precautionary health measures &amp; dealer services: https://t.co/pzlxTNSpqQ https://t.co/a2PaTgFp2x",Extremely Positive
@scottliving towels @amazon they are better than your average towels &amp; at a great price! #stayhomechallenge #bathroom #coronavirus #Awareness #AwardsForMillennials #Parents #Online #shopping https://t.co/Kf5NR6ukkC,Extremely Positive
"So great news for those in isolation, no supermarket can deliver food for at least a week..!! Some up to 3 weeks! And you say people shouldn't stock up?!! So glad i have so much support from friends and family!! Be scary if u didn't.. #cfprobs #isolation #coronavirus",Extremely Positive
"Flatten the curve?! Omg. I thought it said fatten the curve. Ive managed to eat three weeks of food I bought in panic, on Day One of my self-isolation! #COVID19PH #COVID2019 #COVID19 #Covid_19",Extremely Negative
I hope we can honor the grocery store workers like we did the first responders of 9/11 #coronavirus #COVID?19,Extremely Positive
"I despair of how people are behaving right now.  My baby granddaughter has a life threatening food intolerance, now even her free from food is being panic bought.  Those panic buying should be ashamed of themselves.  Selfish arseholes???! #coronavirus",Extremely Negative
"I have never had so much anxiety about going to the grocery store. Its not about the crowds, any people, its about the fact that I see all these shelves empty. Thats the worrisome part. My family has what we need, I worry about the families I dont. #Coronavirus",Extremely Negative
"Leave the house only if you have real needs ... go strictly to the pharmacy or supermarket ! 
#COVID2019 
#StayAtHome 

I LOVE YOU !",Extremely Positive
"GM Guys.... Get ready for *Stock Market* shopping festival !! Unlimited period offer... 
Online partner: BSE and NSE
Main Sponsor: COVID 19",Extremely Positive
"Scary. Gun sales gone up in #USA amid #CoronavirusOutbreak . Due to food shortage, people expect a kind of civil unrest and that's why they stock up on arms and ammunitions too. #CoronavirusPandemic #coronavirus #LosAngeles #CoronavirusOutbreak #gunsales #guns https://t.co/psWkn6A7sX",Extremely Negative
"Retail is absolutely nuts right now. The virus is one, but so many additional problems are going to be caused by peoples behaviour. #StopPanicBuying #coronavirus",Extremely Negative
